,distance_44AE,distance_06A5,distance_CBB0,distance_4F9B
0,6.19,6.140000000000001,1.31,1.8900000000000001
1,6.24,6.17,1.32,1.9100000000000001
2,6.21,6.13,1.31,1.8800000000000001
3,6.15,6.09,1.29,1.87
4,6.24,6.15,1.33,1.8800000000000001
5,6.22,6.13,1.34,1.8800000000000001
6,6.17,6.140000000000001,1.26,1.87
7,6.19,6.12,1.27,1.9000000000000001
8,6.12,6.11,1.29,1.9000000000000001
9,6.01,5.97,1.27,1.92
10,5.84,5.84,1.26,1.9100000000000001
11,5.67,5.76,1.33,1.9100000000000001
12,5.61,5.63,1.35,1.87
13,5.5600000000000005,5.49,1.47,1.86
14,5.47,5.37,1.4000000000000001,1.95
15,5.23,5.2700000000000005,1.58,1.97
16,5.12,5.09,1.6,2.09
17,5.09,5.04,1.6300000000000001,2.1
18,5.09,5.07,1.6600000000000001,2.08
19,5.05,5.14,1.67,2.08
20,5.0600000000000005,5.29,1.68,2.0
21,5.16,5.08,1.68,2.02
22,5.43,5.0,1.71,2.04
23,4.8,4.9,1.77,2.11
24,4.8500000000000005,4.88,1.8800000000000001,2.05
25,4.84,4.87,1.86,2.1
26,4.84,4.87,1.85,2.11
27,4.84,4.9,1.83,2.11
28,4.87,4.94,1.7,2.14
29,4.82,5.0200000000000005,1.57,2.33
30,4.78,5.09,1.44,2.54
31,4.91,5.19,1.34,2.75
32,4.78,5.19,1.31,2.8000000000000003
33,4.76,5.14,1.23,2.85
34,4.75,5.19,1.24,2.77
35,4.74,5.2,1.28,2.8000000000000003
36,4.8100000000000005,5.24,1.18,2.66
37,5.33,5.33,1.18,2.67
38,5.3500000000000005,5.37,1.1300000000000001,2.59
39,5.13,5.43,1.12,2.63
40,5.05,5.47,1.1,2.68
41,5.03,5.49,1.07,2.66
42,5.0200000000000005,5.47,1.11,2.7800000000000002
43,5.0,5.46,1.08,2.7800000000000002
44,4.99,5.47,1.08,2.77
45,4.95,5.5,1.1400000000000001,2.7
46,4.98,5.45,1.06,2.72
47,5.0,5.49,1.11,2.71
48,4.94,5.38,1.1,2.82
49,4.84,5.2700000000000005,1.21,2.86
50,4.64,5.14,1.3800000000000001,2.92
51,4.43,5.03,1.48,3.0100000000000002
52,4.3,4.83,1.76,3.15
53,4.04,4.75,1.9100000000000001,3.23
54,3.89,4.57,2.0100000000000002,3.38
55,3.71,4.51,2.31,3.46
56,3.54,4.33,2.48,3.61
57,3.36,4.18,2.62,3.73
58,3.23,4.07,2.79,3.88
59,3.0,3.92,2.98,4.0
60,2.95,3.7800000000000002,3.16,4.11
61,2.72,3.73,3.3200000000000003,4.24
62,2.64,3.61,3.44,4.36
63,2.5100000000000002,3.48,3.61,4.51
64,2.38,3.35,3.81,4.64
65,1.8900000000000001,3.31,3.98,4.78
66,1.83,3.0500000000000003,4.14,4.96
67,1.58,3.09,4.24,5.12
68,1.44,2.98,4.44,5.21
69,1.23,2.87,4.55,5.3100000000000005
70,1.2,2.88,4.58,5.3100000000000005
71,1.22,2.9,4.64,5.3
72,1.19,2.84,4.74,5.42
73,1.11,2.83,4.86,5.5200000000000005
74,1.0,2.72,4.8500000000000005,5.58
75,0.9400000000000001,2.79,4.96,5.61
76,0.86,2.8000000000000003,4.94,5.65
77,0.88,2.7600000000000002,4.98,5.68
78,0.84,2.81,4.97,5.66
79,0.79,2.79,5.05,5.69
80,0.8300000000000001,2.79,5.0600000000000005,5.68
81,0.81,2.79,5.0200000000000005,5.69
82,0.79,2.83,4.98,5.76
83,0.72,2.94,5.09,5.86
84,0.75,2.99,5.07,5.87
85,0.7000000000000001,3.02,5.13,5.96
86,0.76,3.0100000000000002,5.13,5.94
87,0.72,3.0300000000000002,5.14,5.95
88,0.76,3.04,5.15,6.0200000000000005
89,0.77,3.04,5.11,5.99
90,0.72,2.9,5.2,5.95
91,0.88,2.8000000000000003,5.25,5.79
92,0.93,2.65,5.2700000000000005,5.8100000000000005
93,1.06,2.57,5.2700000000000005,5.64
94,1.17,2.5300000000000002,5.3,5.73
95,1.28,2.5100000000000002,5.29,5.62
96,1.47,2.11,5.36,5.55
97,1.54,2.02,5.37,5.5200000000000005
98,1.71,1.81,5.41,5.46
99,1.86,1.6400000000000001,5.4,5.48
100,1.98,1.46,5.47,5.37
101,2.15,1.27,5.49,5.43
102,2.47,1.16,5.63,5.34
103,2.2800000000000002,0.99,5.66,5.36
104,2.38,0.84,5.73,5.33
105,2.5100000000000002,0.77,5.73,5.34
106,2.52,0.75,5.75,5.33
107,2.54,0.78,5.72,5.34
108,2.46,0.81,5.79,5.33
109,2.57,0.74,5.7,5.34
110,2.5300000000000002,0.78,5.76,5.34
111,2.56,0.71,5.72,5.33
112,2.6,0.75,5.88,5.29
113,2.52,0.66,5.83,5.29
114,2.56,0.73,5.84,5.34
115,2.56,0.66,5.8,5.36
116,2.63,0.67,5.8,5.39
117,2.6,0.6900000000000001,5.88,5.3100000000000005
118,2.61,0.71,5.91,5.3500000000000005
119,2.68,0.67,5.92,5.38
120,2.66,0.65,5.94,5.3
121,2.68,0.66,5.93,5.3
122,2.72,0.64,5.94,5.37
123,2.64,0.7000000000000001,5.91,5.3500000000000005
124,2.63,0.68,5.97,5.3100000000000005
125,2.67,0.71,5.88,5.3500000000000005
126,2.65,0.68,5.93,5.3
127,2.64,0.6900000000000001,5.91,5.29
128,2.7,0.75,5.84,5.25
129,2.68,0.6900000000000001,5.74,5.19
130,2.75,0.84,5.69,5.04
131,2.71,0.9400000000000001,5.57,5.03
132,2.77,1.0,5.39,4.86
133,2.8000000000000003,1.1,5.39,4.75
134,2.88,1.1300000000000001,5.23,4.55
135,2.88,1.23,5.14,4.54
136,3.0,1.4000000000000001,5.09,4.4
137,3.08,1.46,4.89,4.22
138,3.04,1.6400000000000001,4.8100000000000005,4.16
139,3.13,1.79,4.76,4.07
140,3.17,1.9100000000000001,4.65,3.96
141,3.21,2.0300000000000002,4.59,3.79
142,3.3000000000000003,2.14,4.48,3.64
143,3.42,2.31,4.46,3.58
144,3.45,2.48,4.33,3.47
145,3.58,2.54,4.2,3.42
146,3.68,2.64,4.07,3.31
147,3.73,2.77,4.01,3.23
148,3.8000000000000003,2.83,3.93,3.13
149,3.87,2.95,3.8200000000000003,3.04
150,4.04,3.0700000000000003,3.75,2.89
151,4.13,3.25,3.7,2.83
152,4.29,3.31,3.58,2.7
153,4.32,3.49,3.52,2.68
154,4.44,3.63,3.42,2.77
155,4.54,3.75,3.4,1.94
156,4.64,3.85,3.35,2.36
157,4.74,3.96,3.3000000000000003,1.62
158,4.9,4.12,3.18,1.69
159,5.0200000000000005,4.21,3.13,1.6
160,5.07,4.3100000000000005,3.11,1.5
161,5.22,4.49,3.0500000000000003,1.37
162,5.25,4.6000000000000005,2.95,1.23
163,5.3,4.53,2.97,1.18
164,5.32,4.5,2.97,1.1500000000000001
165,5.41,4.53,2.97,1.1400000000000001
166,5.44,4.5600000000000005,2.99,1.09
167,5.53,4.69,3.0100000000000002,1.04
168,5.5,4.68,3.02,1.11
169,5.5200000000000005,4.68,3.0700000000000003,1.02
170,5.59,4.67,3.1,1.09
171,5.58,4.73,3.11,1.08
172,5.54,4.68,3.15,1.08
173,5.58,4.7,3.13,1.01
174,5.55,4.69,3.15,1.1300000000000001
175,5.5,4.72,3.0500000000000003,1.12
176,5.45,4.83,3.0,1.25
177,5.34,4.82,2.85,1.27
178,5.2700000000000005,4.83,2.74,1.36
179,5.28,4.91,2.52,1.5
180,5.25,4.92,2.99,1.61
181,5.14,4.94,2.2800000000000002,1.74
182,5.25,5.0,2.08,1.83
183,5.11,5.08,1.85,1.9000000000000001
184,5.15,5.07,1.6500000000000001,1.97
185,5.0,5.14,1.55,2.11
186,4.98,5.25,1.35,2.31
187,5.13,5.3100000000000005,1.29,2.5
188,4.89,5.42,1.1500000000000001,2.69
189,4.88,5.36,1.1,2.64
190,4.87,5.38,1.1,2.64
191,4.87,5.38,1.12,2.61
192,4.79,5.38,1.1,2.58
193,5.24,5.46,1.06,2.65
194,5.55,5.54,1.0,2.5500000000000003
195,5.49,5.55,1.0,2.58
196,5.29,5.96,1.06,2.58
197,5.14,5.94,0.98,2.61
198,5.1000000000000005,5.87,0.91,2.66
199,5.12,5.73,0.92,2.65
200,5.14,5.78,0.9,2.61
201,5.14,5.7700000000000005,0.84,2.62
202,5.09,5.69,0.85,2.63
203,5.0,5.61,0.96,2.74
204,4.96,5.51,1.02,2.7600000000000002
205,4.78,5.34,1.16,2.84
206,4.73,5.2,1.26,2.87
207,4.6000000000000005,5.11,1.4000000000000001,2.93
208,4.43,4.95,1.48,3.1
209,4.4,4.84,1.6500000000000001,3.14
210,4.2,4.76,1.73,3.23
211,4.0600000000000005,4.65,1.9000000000000001,3.2600000000000002
212,3.96,4.55,2.07,3.33
213,3.81,4.48,2.22,3.36
214,3.66,4.34,2.35,3.48
215,3.5500000000000003,4.24,2.54,3.5300000000000002
216,3.45,4.17,2.61,3.65
217,3.29,4.0600000000000005,2.75,3.75
218,3.22,3.95,2.85,3.74
219,3.12,3.85,2.98,3.92
220,3.06,3.71,3.11,4.0200000000000005
221,2.82,3.59,3.29,4.14
222,2.8000000000000003,3.52,3.37,4.2
223,2.65,3.48,3.5500000000000003,4.3100000000000005
224,2.58,3.43,3.6,4.39
225,2.6,3.38,3.79,4.5
226,1.8900000000000001,3.21,3.86,4.6000000000000005
227,2.0,3.04,4.0600000000000005,4.71
228,1.87,3.04,4.08,4.86
229,1.7,3.11,4.32,5.0200000000000005
230,1.55,2.86,4.42,5.15
231,1.35,2.82,4.53,5.18
232,1.24,2.71,4.71,5.33
233,1.17,2.68,4.82,5.43
234,0.92,2.64,5.0200000000000005,5.59
235,0.93,2.63,5.1000000000000005,5.69
236,0.97,2.62,5.14,5.69
237,0.88,2.7,5.1000000000000005,5.69
238,0.8,2.73,5.1000000000000005,5.72
239,0.8300000000000001,2.89,5.12,5.84
240,0.72,2.84,5.18,5.86
241,0.74,2.89,5.25,5.89
242,0.6900000000000001,2.94,5.26,5.91
243,0.71,2.97,5.24,5.94
244,0.6900000000000001,2.96,5.22,5.94
245,0.7000000000000001,2.95,5.29,5.95
246,0.6900000000000001,2.9,5.23,5.91
247,0.67,2.91,5.2,5.88
248,0.75,2.91,5.3100000000000005,5.87
249,0.76,2.8000000000000003,5.25,5.84
250,0.9400000000000001,2.66,5.28,5.84
251,1.06,2.64,5.26,5.65
252,1.19,2.62,5.24,5.75
253,1.25,1.9000000000000001,5.33,5.63
254,1.36,1.85,5.2700000000000005,5.59
255,1.55,1.85,5.34,5.55
256,1.62,1.77,5.43,5.47
257,1.78,1.7,5.41,5.41
258,1.9100000000000001,1.51,5.42,5.39
259,2.09,1.4000000000000001,5.49,5.38
260,2.29,1.28,5.61,5.36
261,2.73,1.03,5.57,5.29
262,2.2800000000000002,0.9400000000000001,5.67,5.3100000000000005
263,2.49,0.8300000000000001,5.66,5.24
264,2.65,0.76,5.69,5.19
265,2.63,0.71,5.73,5.22
266,2.63,0.77,5.69,5.19
267,2.62,0.76,5.78,5.24
268,2.58,0.72,5.79,5.23
269,2.68,0.6900000000000001,5.84,5.29
270,2.73,0.67,5.93,5.2700000000000005
271,2.7800000000000002,0.62,5.9,5.2700000000000005
272,2.7800000000000002,0.64,5.84,5.26
273,2.8000000000000003,0.7000000000000001,5.94,5.2700000000000005
274,2.7800000000000002,0.66,5.8500000000000005,5.2700000000000005
275,2.7600000000000002,0.65,5.8500000000000005,5.26
276,2.7600000000000002,0.68,5.8500000000000005,5.28
277,2.7600000000000002,0.64,5.8,5.29
278,2.79,0.71,5.82,5.18
279,2.8000000000000003,0.77,5.65,5.14
280,2.7800000000000002,0.8300000000000001,5.6000000000000005,5.01
281,2.88,0.97,5.45,4.92
282,2.85,1.07,5.33,4.74
283,2.9,1.19,5.23,4.66
284,2.96,1.37,5.08,4.51
285,2.97,1.45,4.97,4.43
286,3.11,1.57,4.86,4.22
287,3.09,1.75,4.75,4.09
288,3.16,1.9000000000000001,4.61,4.0
289,3.18,2.0100000000000002,4.5200000000000005,3.87
290,3.2800000000000002,2.23,4.3500000000000005,3.7600000000000002
291,3.36,2.35,4.26,3.66
292,3.41,2.47,4.17,3.6
293,3.5300000000000002,2.63,4.09,3.42
294,3.59,2.72,3.98,3.33
295,3.7,2.83,3.85,3.2600000000000002
296,3.85,2.9,3.83,3.16
297,3.91,3.06,3.66,3.06
298,4.05,3.16,3.68,2.98
299,4.12,3.34,3.5500000000000003,2.83
300,4.22,3.43,3.5500000000000003,2.57
301,4.33,3.64,3.43,2.57
302,4.47,3.65,3.39,2.5300000000000002
303,4.53,3.83,3.27,2.12
304,4.67,3.92,3.21,1.87
305,4.79,4.05,3.08,1.86
306,4.86,4.2700000000000005,3.04,1.72
307,5.01,4.33,3.02,1.5
308,5.11,4.55,2.95,1.37
309,5.26,4.59,2.8000000000000003,1.21
310,5.29,4.61,2.84,1.18
311,5.33,4.57,2.86,1.18
312,5.42,4.6000000000000005,2.9,1.1400000000000001
313,5.5,4.65,2.93,1.09
314,5.53,4.74,3.04,1.06
315,5.6000000000000005,4.8100000000000005,3.27,1.08
316,5.5600000000000005,4.83,3.29,1.11
317,5.59,4.78,3.27,1.06
318,5.6000000000000005,4.79,2.93,1.12
319,5.59,4.8,2.92,1.1500000000000001
320,5.6000000000000005,4.79,3.42,1.1300000000000001
321,5.5600000000000005,4.82,3.58,1.17
322,5.48,4.86,3.14,1.2
323,5.38,4.86,3.1,1.27
324,5.29,4.86,2.96,1.32
325,5.28,4.87,2.83,1.46
326,5.23,4.9,2.38,1.62
327,5.08,4.91,2.25,1.76
328,5.05,4.9,2.09,1.9100000000000001
329,5.1000000000000005,5.0,2.0,1.96
330,4.99,4.97,1.75,2.04
331,5.05,5.07,1.6300000000000001,2.08
332,5.0,5.12,1.52,2.19
333,4.94,5.21,1.3800000000000001,2.44
334,5.01,5.24,1.27,2.63
335,4.87,5.29,1.21,2.73
336,4.86,5.29,1.19,2.73
337,4.8500000000000005,5.33,1.19,2.7600000000000002
338,4.8,5.3500000000000005,1.11,2.56
339,5.2,5.39,1.05,2.64
340,5.58,5.43,1.03,2.61
341,5.48,5.43,1.01,2.59
342,5.43,5.49,0.99,2.5500000000000003
343,5.24,6.0600000000000005,0.98,2.63
344,5.09,5.8,0.98,2.61
345,5.11,5.66,0.96,2.67
346,5.08,5.64,0.91,2.67
347,5.07,5.62,0.92,2.69
348,5.12,5.58,0.91,2.7
349,5.11,5.62,0.86,2.66
350,5.0600000000000005,5.61,0.92,2.72
351,5.11,5.64,0.9400000000000001,2.7
352,4.97,5.51,0.98,2.62
353,5.01,5.45,1.1,2.7600000000000002
354,4.87,5.3,1.2,2.83
355,4.76,5.19,1.32,2.88
356,4.63,4.98,1.45,2.94
357,4.44,4.96,1.51,3.0700000000000003
358,4.24,4.8,1.6600000000000001,3.12
359,4.17,4.69,1.79,3.21
360,4.0600000000000005,4.6000000000000005,2.0300000000000002,3.25
361,3.81,4.46,2.11,3.34
362,3.7600000000000002,4.3500000000000005,2.29,3.38
363,3.73,4.21,2.38,3.5700000000000003
364,3.49,4.14,2.58,3.5700000000000003
365,3.37,4.04,2.7,3.59
366,3.2600000000000002,3.93,2.79,3.71
367,3.16,3.88,2.98,3.81
368,3.04,3.83,3.0700000000000003,3.91
369,2.89,3.68,3.17,4.01
370,2.89,3.6,3.2800000000000002,4.12
371,2.71,3.59,3.38,4.15
372,2.58,3.49,3.5700000000000003,4.34
373,2.64,3.4,3.67,4.42
374,2.16,3.35,3.8200000000000003,4.5600000000000005
375,2.12,3.2600000000000002,3.91,4.67
376,2.0100000000000002,3.13,4.03,4.74
377,1.83,3.06,4.12,4.87
378,1.6600000000000001,2.9,4.32,4.93
379,1.49,2.87,4.46,5.07
380,1.36,2.7600000000000002,4.63,5.13
381,1.22,2.64,4.72,5.36
382,1.12,2.65,4.9,5.49
383,0.96,2.66,5.01,5.53
384,0.9400000000000001,2.65,5.15,5.65
385,0.91,2.58,5.19,5.69
386,0.89,2.64,5.13,5.71
387,0.88,2.67,5.05,5.7
388,0.8,2.81,5.09,5.74
389,0.84,2.77,5.23,5.78
390,0.81,2.84,5.22,5.84
391,0.75,2.87,5.26,5.86
392,0.75,2.87,5.29,5.86
393,0.74,2.88,5.26,5.86
394,0.76,2.9,5.28,5.88
395,0.74,2.77,5.22,5.87
396,0.9,2.69,5.3,5.8100000000000005
397,1.02,2.59,5.28,5.67
398,1.12,2.43,5.3500000000000005,5.78
399,1.21,2.37,5.33,5.64
400,1.35,2.47,5.4,5.63
401,1.53,1.98,5.4,5.6000000000000005
402,1.68,1.82,5.51,5.5
403,1.85,1.6300000000000001,5.51,5.46
404,2.0,1.48,5.5600000000000005,5.48
405,2.21,1.27,5.58,5.48
406,2.41,1.11,5.74,5.4
407,2.34,0.92,5.73,5.33
408,2.45,0.79,5.72,5.4
409,2.52,0.74,5.8,5.3100000000000005
410,2.61,0.7000000000000001,5.88,5.3100000000000005
411,2.63,0.68,5.95,5.37
412,2.5500000000000003,0.66,5.9,5.4
413,2.6,0.65,5.87,5.37
414,2.6,0.56,6.0200000000000005,5.37
415,2.65,0.66,6.0,5.43
416,2.73,0.66,6.03,5.42
417,2.69,0.66,6.03,5.44
418,2.74,0.65,6.0200000000000005,5.4
419,2.75,0.67,6.01,5.41
420,2.7600000000000002,0.65,6.01,5.38
421,2.74,0.58,5.99,5.42
422,2.7600000000000002,0.58,5.94,5.44
423,2.77,0.5700000000000001,5.98,5.42
424,2.73,0.6,5.93,5.43
425,2.74,0.58,5.94,5.43
426,2.74,0.65,5.97,5.37
427,2.73,0.64,5.98,5.41
428,2.7,0.6,5.97,5.36
429,2.73,0.7000000000000001,5.92,5.3
430,2.7,0.71,5.82,5.19
431,2.7600000000000002,0.76,5.7,5.05
432,2.81,0.91,5.51,4.94
433,2.89,1.0,5.43,4.78
434,2.97,1.18,5.29,4.62
435,2.93,1.25,5.18,4.44
436,3.0700000000000003,1.3900000000000001,5.11,4.38
437,3.1,1.48,4.96,4.2
438,3.24,1.6300000000000001,4.86,4.19
439,3.29,1.82,4.74,4.08
440,3.2600000000000002,1.93,4.57,3.93
441,3.38,2.09,4.48,3.86
442,3.41,2.19,4.3500000000000005,3.69
443,3.44,2.36,4.26,3.63
444,3.59,2.43,4.26,3.49
445,3.59,2.57,4.04,3.39
446,3.65,2.69,4.0,3.33
447,3.7800000000000002,2.83,3.91,3.21
448,3.81,2.93,3.88,3.13
449,3.95,3.0500000000000003,3.72,3.08
450,4.01,3.2,3.69,3.02
451,4.17,3.2800000000000002,3.59,2.95
452,4.23,3.44,3.5300000000000002,2.31
453,4.32,3.54,3.48,2.5100000000000002
454,4.45,3.71,3.39,2.52
455,4.57,3.81,3.29,2.5100000000000002
456,4.67,3.92,3.2,1.9000000000000001
457,4.8,4.08,3.11,1.81
458,4.88,4.2700000000000005,3.0,1.67
459,5.01,4.37,3.0300000000000002,1.47
460,5.12,4.48,2.9,1.35
461,5.25,4.5600000000000005,2.89,1.29
462,5.25,4.53,2.87,1.24
463,5.33,4.54,2.93,1.21
464,5.3,4.5200000000000005,2.91,1.23
465,5.38,4.54,2.91,1.21
466,5.44,4.6000000000000005,2.89,1.11
467,5.46,4.62,2.93,1.11
468,5.54,4.61,2.98,1.1
469,5.48,4.71,3.04,1.09
470,5.53,4.67,3.04,1.11
471,5.49,4.67,3.0700000000000003,1.08
472,5.53,4.72,3.0300000000000002,1.09
473,5.42,4.82,2.88,1.16
474,5.3,4.76,3.2600000000000002,1.31
475,5.24,4.83,3.2800000000000002,1.34
476,5.21,4.84,2.92,1.52
477,5.18,4.86,2.58,1.6600000000000001
478,5.07,4.91,2.16,1.78
479,5.16,4.99,1.8900000000000001,1.86
480,4.94,4.98,1.77,1.99
481,5.08,5.05,1.6400000000000001,2.09
482,4.96,5.14,1.54,2.23
483,4.8,5.15,1.35,2.46
484,5.0,5.2700000000000005,1.23,2.63
485,4.8,5.32,1.2,2.65
486,4.73,5.3100000000000005,1.18,2.61
487,4.73,5.36,1.16,2.63
488,4.65,5.42,1.12,2.68
489,5.43,5.44,1.05,2.67
490,5.38,5.46,1.06,2.66
491,5.2700000000000005,5.48,1.01,2.66
492,5.0,5.6000000000000005,1.01,2.67
493,4.96,5.53,0.98,2.67
494,4.93,5.6000000000000005,0.97,2.65
495,4.94,5.5200000000000005,0.9,2.67
496,4.96,5.53,0.9,2.66
497,4.94,5.54,0.93,2.7600000000000002
498,4.92,5.51,0.9400000000000001,2.77
499,4.94,5.57,0.98,2.7800000000000002
500,4.94,5.51,0.96,2.81
501,4.93,5.51,0.9,2.7800000000000002
502,5.0,5.5200000000000005,1.0,2.81
503,4.98,5.3500000000000005,1.18,2.83
504,4.79,5.16,1.21,2.87
505,4.69,5.05,1.3800000000000001,2.89
506,4.32,4.87,1.58,3.0
507,4.29,4.72,1.73,3.08
508,3.98,4.54,1.96,3.11
509,3.96,4.44,2.21,3.24
510,3.7800000000000002,4.2700000000000005,2.39,3.36
511,3.58,4.08,2.57,3.47
512,3.34,3.94,2.81,3.56
513,3.18,3.86,2.96,3.7600000000000002
514,2.99,3.72,3.08,3.86
515,2.88,3.6,3.27,4.01
516,2.68,3.5,3.42,4.12
517,2.6,3.39,3.61,4.3100000000000005
518,2.46,3.3200000000000003,3.7600000000000002,4.49
519,2.19,3.15,3.85,4.61
520,1.83,3.11,4.0600000000000005,4.8
521,1.74,3.0100000000000002,4.28,4.92
522,1.52,2.91,4.4,5.1000000000000005
523,1.35,2.79,4.58,5.2
524,1.1400000000000001,2.74,4.82,5.4
525,0.97,2.72,4.94,5.59
526,0.9,2.72,5.0200000000000005,5.57
527,0.93,2.77,4.94,5.64
528,0.86,2.79,4.96,5.7
529,0.8300000000000001,2.77,4.92,5.71
530,0.81,2.93,4.93,5.74
531,0.79,2.92,5.03,5.82
532,0.85,2.94,5.0,5.82
533,0.72,3.0100000000000002,5.07,5.87
534,0.77,2.96,5.13,5.87
535,0.77,3.0300000000000002,5.14,5.86
536,0.79,3.0300000000000002,5.1000000000000005,5.89
537,0.79,2.97,5.12,5.88
538,0.84,2.87,5.17,5.75
539,1.01,2.75,5.18,5.72
540,1.04,2.7600000000000002,5.18,5.63
541,1.2,2.68,5.2,5.54
542,1.31,1.85,5.2,5.62
543,1.4000000000000001,1.92,5.21,5.55
544,1.54,1.86,5.29,5.44
545,1.68,1.8,5.33,5.38
546,1.84,1.69,5.2700000000000005,5.3500000000000005
547,2.0100000000000002,1.46,5.42,5.28
548,2.21,1.3800000000000001,5.4,5.23
549,2.33,1.22,5.5,5.28
550,2.2800000000000002,1.03,5.54,5.15
551,2.44,0.96,5.61,5.17
552,2.65,0.8200000000000001,5.67,5.17
553,2.64,0.88,5.66,5.19
554,2.7,0.88,5.69,5.13
555,2.62,0.84,5.73,5.18
556,2.59,0.75,5.63,5.21
557,2.68,0.73,5.82,5.18
558,2.69,0.73,5.82,5.25
559,2.68,0.65,5.7700000000000005,5.2
560,2.68,0.68,5.8,5.18
561,2.68,0.73,5.8,5.16
562,2.69,0.62,5.8100000000000005,5.18
563,2.69,0.67,5.7700000000000005,5.21
564,2.69,0.71,5.78,5.15
565,2.73,0.66,5.8,5.18
566,2.7,0.6900000000000001,5.7700000000000005,5.19
567,2.75,0.75,5.8,5.12
568,2.81,0.88,5.59,4.97
569,2.84,1.02,5.44,4.91
570,2.9,1.11,5.38,4.72
571,2.91,1.22,5.19,4.54
572,3.04,1.33,5.07,4.43
573,3.08,1.46,4.98,4.3100000000000005
574,3.12,1.68,4.84,4.15
575,3.15,1.77,4.7,4.01
576,3.22,2.02,4.58,3.85
577,3.29,2.15,4.42,3.74
578,3.39,2.33,4.3100000000000005,3.59
579,3.45,2.44,4.24,3.45
580,3.5300000000000002,2.5500000000000003,4.07,3.41
581,3.68,2.73,4.04,3.31
582,3.81,2.86,3.88,3.12
583,3.96,2.96,3.87,2.99
584,4.07,3.14,3.7600000000000002,2.88
585,4.14,3.24,3.67,2.7600000000000002
586,4.32,3.42,3.54,2.71
587,4.37,3.5500000000000003,3.52,2.63
588,4.51,3.7,3.41,2.5100000000000002
589,4.59,3.8000000000000003,3.35,2.37
590,4.74,3.94,3.2800000000000002,1.6300000000000001
591,4.88,4.12,3.18,1.67
592,4.99,4.2700000000000005,3.14,1.55
593,5.17,4.44,3.06,1.45
594,5.28,4.55,3.0,1.24
595,5.23,4.5200000000000005,3.0,1.22
596,5.32,4.44,3.0700000000000003,1.21
597,5.4,4.51,3.02,1.16
598,5.49,4.62,3.04,1.11
599,5.48,4.6000000000000005,3.13,1.12
600,5.5200000000000005,4.64,3.12,1.1400000000000001
601,5.5,4.62,3.12,1.11
602,5.48,4.62,3.08,1.11
603,5.5600000000000005,4.68,3.17,1.1300000000000001
604,5.48,4.67,3.14,1.09
605,5.55,4.66,3.2,1.11
606,5.44,4.68,3.04,1.08
607,5.39,4.79,2.95,1.24
608,5.28,4.83,2.9,1.28
609,5.23,4.83,2.73,1.35
610,5.24,4.8100000000000005,2.65,1.4000000000000001
611,5.2700000000000005,4.88,2.56,1.53
612,5.23,4.89,3.0500000000000003,1.59
613,5.16,4.94,2.0100000000000002,1.7
614,5.22,4.95,2.05,1.78
615,5.1000000000000005,5.07,1.94,1.96
616,5.1000000000000005,5.07,1.97,1.94
617,5.12,5.07,1.93,1.94
618,5.14,5.07,1.92,1.95
619,5.13,5.08,1.95,1.92
620,5.12,5.08,1.92,1.95
621,5.12,5.08,1.96,1.8900000000000001
622,5.12,5.07,1.94,1.9100000000000001
623,5.17,5.09,1.95,1.93
624,5.09,5.05,1.93,1.9100000000000001
625,5.15,5.09,1.97,1.95
626,5.15,5.07,1.92,1.93
627,5.12,5.07,1.8900000000000001,1.9100000000000001
628,5.12,5.08,1.9000000000000001,1.9100000000000001
629,5.13,5.1000000000000005,1.87,1.9000000000000001
630,5.13,5.08,1.92,1.96
